KeyElement	Subject	RelationshipCategory	Predicate	Cardinality				
RTPrescription	RTPrescriptionDVHObjectives	ChildElement-Of	RTPrescription	Many to One		RTPrescriptionDVHObjectives	 part-of 	RTPrescription	
RTPrescription	RTTreatedPlan	InstanceAssociated-with	RTPrescription	Many to One	*	RTTreatedPlan	 characteristic-of 	RTPrescription	
RTPrescription	RTPrescription	InstanceAssociated-with	RTPhase	One to One	*	RTPrescription	 characteristic-of 	RTPhase	
RTPrescriptionTargetDose	RTPrescriptionTargetDose	ChildElement-Of	RTPrescription	Many to One		RTPrescriptionTargetDose	 part-of 	RTPrescription	
RTPrescriptionDoseObjective	RTPrescriptionDoseObjective	ChildElement-Of	RTPrescription	Many to One		RTPrescriptionDoseObjective	 part-of 	RTPrescription	
RTTreatedPlan	RTTreatedPlan	ChildElement-Of	RTCourse	Many to One		RTTreatedPlan	 part-of 	RTCourse	
RTTreatedPlan	RTPlanningStructureSet	ChildElement-Of	RTTreatedPlan	One to One		RTPlanningStructureSet	 part-of 	RTTreatedPlan	
RTTreatedPlan	DVHCurve	ChildElement-Of	RTTreatedPlan	Many to One		DVHCurve	 part-of 	RTTreatedPlan	
RTTreatedPlan	DVHMetric	ChildElement-Of	RTTreatedPlan	Many to One		DVHMetric	 part-of 	RTTreatedPlan	
RTTreatedPlan	RTTreatedPlanDetailsXRT	ChildElement-Of	RTTreatedPlan	One to One		RTTreatedPlanDetailsXRT	 part-of 	RTTreatedPlan	
RTTreatedPlan	RTTreatedPlanDetailsBrachytherapy	ChildElement-Of	RTTreatedPlan	One to One		RTTreatedPlanDetailsBrachytherapy	 part-of 	RTTreatedPlan	
RTTreatedPlan	RTTreatedPlanDetailsHadrons	ChildElement-Of	RTTreatedPlan	One to One		RTTreatedPlanDetailsHadrons	 part-of 	RTTreatedPlan	
RTTreatedPlan	RTPrescription	InstanceAssociated-with	RTTreatedPlan	One to Many	*	RTPrescription	 characteristic-of 	RTTreatedPlan	
RTTreatedPlan	Image	InstanceAssociated-with	RTTreatedPlan	Many to One	*	Image	 characteristic-of 	RTTreatedPlan	
RTTreatedPlan	RTTreatedPlan	InstanceAssociated-with	ReIrradiationEvaluation	Many to One	*	RTTreatedPlan	 characteristic-of 	ReIrradiationEvaluation	
RTTreatedPlanTargetDose	RTTreatedPlanTargetDose	ChildElement-Of	RTTreatedPlan	Many to One		RTTreatedPlanTargetDose	 part-of 	RTTreatedPlan	
ReirradiationEvaluation	ReIrradiationEvaluation	ChildElement-Of	Patient	Many to One		ReIrradiationEvaluation	 part-of 	Patient	
ReirradiationEvaluation	ReIrradiationEvaluation	InstanceAssociated-with	RTCourse	Many to One	*	ReIrradiationEvaluation	 characteristic-of 	RTCourse	
ReirradiationEvaluation	RTTreatedPlan	InstanceAssociated-with	ReIrradiationEvaluation	Many to One	*	RTTreatedPlan	 characteristic-of 	ReIrradiationEvaluation	
RTTreatedPlanDetailsXRT	RTTreatedPlanDetailsXRT	ChildElement-Of	RTTreatedPlan	One to One		RTTreatedPlanDetailsXRT	 part-of 	RTTreatedPlan	
